VAR_EPH, NOMBRE,PONDERADOR
"ANO4","YEAR",
"TRIMESTRE","TRIMESTER",
"REGION","REGION",
"AGLOMERADO","AGLOMERADO",
"CODUSU","CODUSU",
"NRO_HOGAR","NRO_HOGAR",
"CH03","ROL_HOGAR",
"CH04","SEXO",
"CH06","EDAD",
"ESTADO","ESTADO",
"CAT_OCUP","CATEGORIA_OCUPACION",
"CAT_INAC","CATEGORIA_INACTIVO",
"PONDERA","PONDERA",
"PONDIIO","PONDIIO",
"PONDII","PONDII",
"PONDIIH","PONDIIH",
"PP07E","TIPO_OCUPACION",
"PP07H","REGISTRACION",
"PP07I","APORTE_PROPIO",
"PP04B1","SERVICIO_DOMESTICO",
"PP04B2","TOTAL_CASAS",
"PP04D_COD","CODIGO_OCUPACION",
"P47T","TOTAL_INGRESO_INDIVIDUAL","PONDII"
"PP11B1","EX_SERVICIO_DOMESTICO",
"PP11M","EX_TIPO_OCUPACION",
"P21","INGRESOS_OCUP_PPAL","PONDIIO"
"V2_M","INGRESO_JUBILACION",
"V5_M","INGRESO_AYUDA_SOCIAL",
"T_VI","INGRESO_TOTAL_NO_LABORAL",
"V19_AM","INGRESO_MENORES"